,Item,Location,Transaction.Date,Quantity,Price.Per.Unit,Transaction.ID,Total.Spent,Payment.Method
1,Coffee,Takeaway,09-08-2023,2,2,TXN_1961373,TRUE,Credit Card
2,Cake,In-store,5/16/2023,4,3,TXN_4977031,FALSE,Cash
3,Cookie,In-store,7/19/2023,4,1,TXN_4271903,TRUE,Credit Card
4,Salad,Takeaway,4/27/2023,2,5,TXN_7034554,FALSE,Credit Card
5,Coffee,In-store,06-11-2023,2,2,TXN_3160411,TRUE,Digital Wallet
6,Smoothie,Takeaway,3/31/2023,5,4,TXN_2602893,FALSE,Credit Card
7,hot chocolate,Takeaway,10-06-2023,3,3,TXN_4433211,TRUE,Gpay
8,Sandwich,Takeaway,10/28/2023,4,4,TXN_6699534,FALSE,Cash
9,fresh juice,Takeaway,7/28/2023,5,3,TXN_4717867,FALSE,Cash
10,Sandwich,In-store,12/31/2023,5,4,TXN_2064365,FALSE,Cash
11,Salad,Takeaway,11-07-2023,5,5,TXN_2548360,TRUE,Cash
12,Sandwich,Takeaway,06-10-2023,2,4,TXN_3051279,TRUE,Credit Card
13,Sandwich,In-store,05-03-2023,2,4,TXN_7619095,TRUE,Cash
14,Cookie,Takeaway,06-01-2023,5,1,TXN_9437049,TRUE,Cash
15,black forest,In-store,3/21/2023,2,5,TXN_8915701,TRUE,Cash
16,Salad,In-store,11/15/2023,3,5,TXN_2847255,FALSE,Credit Card
17,Sandwich,Takeaway,06-10-2023,1,4,TXN_3765707,TRUE,Cash
18,Juice,In-store,2/24/2023,2,3,TXN_6769710,TRUE,Cash
19,Cake,In-Store,3/25/2023,5,3,TXN_8876618,FALSE,Cash
20,Juice,Takeaway,1/15/2023,4,3,TXN_3709394,FALSE,Cash
21,Smoothie,In-store,04-04-2023,5,4,TXN_3522028,FALSE,Cash
22,Smoothie,Takeaway,3/30/2023,4,4,TXN_3567645,FALSE,Credit Card
23,Sandwich,Takeaway,12-01-2023,3,4,TXN_5132361,FALSE,Digital Wallet
24,Sandwich,Takeaway,9/18/2023,2,4,TXN_2616390,TRUE,Cash
25,Sandwich,In-store,06-03-2023,5,4,TXN_9400181,FALSE,Cash
26,Smoothie,Takeaway,12/13/2023,3,4,TXN_7958992,FALSE,Credit Card
27,Cookie,In-store,4/20/2023,5,1,TXN_5183041,TRUE,Credit Card
28,Juice,Takeaway,04-10-2023,4,3,TXN_5695074,FALSE,Credit Card
29,Smoothie,Takeaway,03-11-2023,5,4,TXN_8467949,FALSE,Credit Card
30,Cake,Takeaway,06-10-2023,4,3,TXN_7640952,FALSE,Digital Wallet
31,fresh juice,Takeaway,06-02-2023,5,2,TXN_1736287,FALSE,Digital Wallet
32,hot chocolate,In-Store,11-06-2023,2,1,TXN_8927252,TRUE,Credit Card
33,Smoothie,In-store,8/15/2023,4,4,TXN_9677376,FALSE,Cash
34,hot chocolate,Takeaway,06-10-2023,5,1,TXN_7710508,TRUE,Cash
35,Smoothie,Takeaway,10-09-2023,2,4,TXN_8853997,TRUE,Digital Wallet
36,Sandwich,Takeaway,5/28/2023,1,4,TXN_9130559,TRUE,Credit Card
37,hot chocolate,In-store,7/17/2023,4,3,TXN_6855453,FALSE,Cash
38,Salad,In-store,4/29/2023,2,5,TXN_1080432,FALSE,Credit Card
39,Smoothie,Takeaway,06-08-2023,4,4,TXN_2655815,FALSE,Cash
40,Coffee,Takeaway,6/29/2023,4,2,TXN_6688524,TRUE,Gpay
41,Smoothie,In-store,4/17/2023,3,4,TXN_2083138,FALSE,Cash
42,Sandwich,Takeaway,12/22/2023,4,4,TXN_2427584,FALSE,Cash
